english	translation	category	sub_category	source
A Slow Death	A Slow Death	interface	combAchvmt	
Fighting as Intended II	Fighting as Intended II	interface	combAchvmt	
Deranged Archaeologist Novice	Deranged Archaeologist Novice	interface	combAchvmt	
The Walking Volcano	The Walking Volcano	interface	combAchvmt	
Into the Den of Giants	Into the Den of Giants	interface	combAchvmt	
A Greater Foe	A Greater Foe	interface	combAchvmt	
Not So Great After All	Not So Great After All	interface	combAchvmt	
A Demon's Best Friend	A Demon's Best Friend	interface	combAchvmt	
Obor Novice	Obor Novice	interface	combAchvmt	
Sleeping Giant	Sleeping Giant	interface	combAchvmt	
Fighting as Intended	Fighting as Intended	interface	combAchvmt	
King Black Dragon Novice	King Black Dragon Novice	interface	combAchvmt	
A Scaley Encounter	A Scaley Encounter	interface	combAchvmt	
Shayzien Protector	Shayzien Protector	interface	combAchvmt	
Giant Mole Novice	Giant Mole Novice	interface	combAchvmt	
Sarachnis Novice	Sarachnis Novice	interface	combAchvmt	
Wintertodt Novice	Wintertodt Novice	interface	combAchvmt	
Mummy!	Anyu!	interface	combAchvmt	
Handyman	Handyman	interface	combAchvmt	
Cosy	Cosy	interface	combAchvmt	
A Slithery Encounter	A Slithery Encounter	interface	combAchvmt	
Tempoross Novice	Tempoross Novice	interface	combAchvmt	
Master of Buckets	Master of Buckets	interface	combAchvmt	
Calm Before the Storm	Calm Before the Storm	interface	combAchvmt	
Fire in the Hole!	Fire in the Hole!	interface	combAchvmt	
Scurrius Novice	Scurrius Novice	interface	combAchvmt	
Sit Rat	Sit Rat	interface	combAchvmt	
One by one	One by one	interface	combAchvmt	
Elemental Company	Elemental Company	interface	combAchvmt	
Let them fight	Let them fight	interface	combAchvmt	
Sit Back and Relax	Sit Back and Relax	interface	combAchvmt	
Barrows Champion	Barrows Champion	interface	combAchvmt	
Can't Touch Me	Can't Touch Me	interface	combAchvmt	
Pray for Success	Pray for Success	interface	combAchvmt	
Brutal, Big, Black and Firey	Brutal, Big, Black and Firey	interface	combAchvmt	
Bryophyta Champion	Bryophyta Champion	interface	combAchvmt	
Quick Cutter	Quick Cutter	interface	combAchvmt	
Demonic Weakening	Demonic Weakening	interface	combAchvmt	
Demonbane Weaponry	Demonbane Weaponry	interface	combAchvmt	
Chaos Fanatic Champion	Chaos Fanatic Champion	interface	combAchvmt	
Sorry, What Was That?	Sorry, What Was That?	interface	combAchvmt	
Crazy Archaeologist Champion	Crazy Archaeologist Champion	interface	combAchvmt	
Mage of the Ruins	Mage of the Ruins	interface	combAchvmt	
I'd Rather Not Learn	I'd Rather Not Learn	interface	combAchvmt	
Deranged Archaeologist Champion	Deranged Archaeologist Champion	interface	combAchvmt	
Mage of the Swamp	Mage of the Swamp	interface	combAchvmt	
I'd Rather Be Illiterate	I'd Rather Be Illiterate	interface	combAchvmt	
A Smashing Time	A Smashing Time	interface	combAchvmt	
Obor Champion	Obor Champion	interface	combAchvmt	
Back to the Wall	Back to the Wall	interface	combAchvmt	
Squashing the Giant	Squashing the Giant	interface	combAchvmt	
King Black Dragon Champion	King Black Dragon Champion	interface	combAchvmt	
Claw Clipper	Claw Clipper	interface	combAchvmt	
Hide Penetration	Hide Penetration	interface	combAchvmt	
Antifire Protection	Antifire Protection	interface	combAchvmt	
Master of Broad Weaponry	Master of Broad Weaponry	interface	combAchvmt	
Giant Mole Champion	Giant Mole Champion	interface	combAchvmt	
Avoiding Those Little Arms	Avoiding Those Little Arms	interface	combAchvmt	
Dagannoth Prime Champion	Dagannoth Prime Champion	interface	combAchvmt	
Dagannoth Rex Champion	Dagannoth Rex Champion	interface	combAchvmt	
A Frozen King	A Frozen King	interface	combAchvmt	
Sarachnis Champion	Sarachnis Champion	interface	combAchvmt	
Newspaper Enthusiast	Newspaper Enthusiast	interface	combAchvmt	
A Frozen Foe from the Past	A Frozen Foe from the Past	interface	combAchvmt	
Dagannoth Supreme Champion	Dagannoth Supreme Champion	interface	combAchvmt	
Wintertodt Champion	Wintertodt Champion	interface	combAchvmt	
Can We Fix It?	Can We Fix It?	interface	combAchvmt	
Leaving No One Behind	Leaving No One Behind	interface	combAchvmt	
Skotizo Champion	Skotizo Champion	interface	combAchvmt	
Tempoross Champion	Tempoross Champion	interface	combAchvmt	
The Lone Angler	The Lone Angler	interface	combAchvmt	
Scurrius Champion	Scurrius Champion	interface	combAchvmt	
Perfect Scurrius	Perfect Scurrius	interface	combAchvmt	
Efficient Pest Control	Efficient Pest Control	interface	combAchvmt	
Lunar Triplet	Lunar Triplet	interface	combAchvmt	
Perilous Novice	Perilous Novice	interface	combAchvmt	
Back to Our Roots	Back to Our Roots	interface	combAchvmt	
Moons of Peril Speed-Trialist	Moons of Peril Speed-Trialist	interface	combAchvmt	
Hueycoatl Champion	Hueycoatl Champion	interface	combAchvmt	
You're a wizard	You're a wizard	interface	combAchvmt	
Amoxliatl Champion	Amoxliatl Champion	interface	combAchvmt	
Temotli Triumph	Temotli Triumph	interface	combAchvmt	
Royal Titan Champion	Royal Titan Champion	interface	combAchvmt	
Royal Titan Adept	Royal Titan Adept	interface	combAchvmt	
It takes too long	It takes too long	interface	combAchvmt	
Abyssal Adept	Abyssal Adept	interface	combAchvmt	
They Grow Up Too Fast	They Grow Up Too Fast	interface	combAchvmt	
Don't Whip Me	Don't Whip Me	interface	combAchvmt	
Don't Stop Moving	Don't Stop Moving	interface	combAchvmt	
Kree'arra Adept	Kree'arra Adept	interface	combAchvmt	
Airborne Showdown	Airborne Showdown	interface	combAchvmt	
General Graardor Adept	General Graardor Adept	interface	combAchvmt	
Ourg Freezer	Ourg Freezer	interface	combAchvmt	
General Showdown	General Showdown	interface	combAchvmt	
Just Like That	Just Like That	interface	combAchvmt	
Faithless Crypt Run	Faithless Crypt Run	interface	combAchvmt	
Callisto Adept	Callisto Adept	interface	combAchvmt	
Skotizo Adept	Skotizo Adept	interface	combAchvmt	
Chaos Elemental Adept	Chaos Elemental Adept	interface	combAchvmt	
Hoarder	Hoarder	interface	combAchvmt	
The Flincher	The Flincher	interface	combAchvmt	
Chaos Fanatic Adept	Chaos Fanatic Adept	interface	combAchvmt	
Praying to the Gods	Praying to the Gods	interface	combAchvmt	
Crazy Archaeologist Adept	Crazy Archaeologist Adept	interface	combAchvmt	
Grotesque Guardians Adept	Grotesque Guardians Adept	interface	combAchvmt	
Don't Look at the Eclipse	Don't Look at the Eclipse	interface	combAchvmt	
Prison Break	Prison Break	interface	combAchvmt	
Granite Footwork	Granite Footwork	interface	combAchvmt	
Heal No More	Heal No More	interface	combAchvmt	
Static Awareness	Static Awareness	interface	combAchvmt	
Hespori Adept	Hespori Adept	interface	combAchvmt	
Hesporisn't	Hesporisn't	interface	combAchvmt	
Weed Whacker	Weed Whacker	interface	combAchvmt	
Kalphite Queen Adept	Kalphite Queen Adept	interface	combAchvmt	
Chitin Penetrator	Chitin Penetrator	interface	combAchvmt	
Who Is the King Now?	Who Is the King Now?	interface	combAchvmt	
Kraken Adept	Kraken Adept	interface	combAchvmt	
Unnecessary Optimisation	Unnecessary Optimisation	interface	combAchvmt	
Krakan't Hurt Me	Krakan't Hurt Me	interface	combAchvmt	
Why Are You Running?	Why Are You Running?	interface	combAchvmt	
Whack-a-Mole	Whack-a-Mole	interface	combAchvmt	
Nightmare Adept	Nightmare Adept	interface	combAchvmt	
Dagannoth Prime Adept	Dagannoth Prime Adept	interface	combAchvmt	
Dagannoth Rex Adept	Dagannoth Rex Adept	interface	combAchvmt	
Ready to Pounce	Ready to Pounce	interface	combAchvmt	
Inspect Repellent	Inspect Repellent	interface	combAchvmt	
Commander Zilyana Adept	Commander Zilyana Adept	interface	combAchvmt	
Commander Showdown	Commander Showdown	interface	combAchvmt	
Scorpia Adept	Scorpia Adept	interface	combAchvmt	
I Can't Reach That	I Can't Reach That	interface	combAchvmt	
Guardians No More	Guardians No More	interface	combAchvmt	
Zulrah Adept	Zulrah Adept	interface	combAchvmt	
Dagannoth Supreme Adept	Dagannoth Supreme Adept	interface	combAchvmt	
Theatre of Blood: SM Adept	Theatre of Blood: SM Adept	interface	combAchvmt	
Venenatis Adept	Venenatis Adept	interface	combAchvmt	
Vet'ion Adept	Vet'ion Adept	interface	combAchvmt	
Why Fletch?	Why Fletch?	interface	combAchvmt	
K'ril Tsutsaroth Adept	K'ril Tsutsaroth Adept	interface	combAchvmt	
Yarr No More	Yarr No More	interface	combAchvmt	
Demonic Showdown	Demonic Showdown	interface	combAchvmt	
Demonbane Weaponry II	Demonbane Weaponry II	interface	combAchvmt	
Dress Like You Mean It	Dress Like You Mean It	interface	combAchvmt	
Why Cook?	Why Cook?	interface	combAchvmt	
Novice Tomb Explorer	Novice Tomb Explorer	interface	combAchvmt	
Novice Tomb Looter	Novice Tomb Looter	interface	combAchvmt	
Movin' on up	Movin' on up	interface	combAchvmt	
Confident Raider	Confident Raider	interface	combAchvmt	
Phantom Muspah Adept	Phantom Muspah Adept	interface	combAchvmt	
Perilous Dancer	Perilous Dancer	interface	combAchvmt	
Fortified	Fortified	interface	combAchvmt	
Betrayal	Betrayal	interface	combAchvmt	
Moons of Peril Speed-Chaser	Moons of Peril Speed-Chaser	interface	combAchvmt	
Fat of the Land	Fat of the Land	interface	combAchvmt	
The Clone Zone	The Clone Zone	interface	combAchvmt	
Perilous Champion	Perilous Champion	interface	combAchvmt	
Hueycoatl Adept	Hueycoatl Adept	interface	combAchvmt	
Pillar Lover	Pillar Lover	interface	combAchvmt	
I'm your son	I'm your son	interface	combAchvmt	
Amoxliatl Adept	Amoxliatl Adept	interface	combAchvmt	
Amoxliatl Speed-Trialist	Amoxliatl Speed-Trialist	interface	combAchvmt	
Nagua Negation	Nagua Negation	interface	combAchvmt	
Kemo Makti	Kemo Makti	interface	combAchvmt	
Totally Shattered	Totally Shattered	interface	combAchvmt	
Perfect Royal Titans	Perfect Royal Titans	interface	combAchvmt	
Royal Titan Speed-Runner	Royal Titan Speed-Runner	interface	combAchvmt	
Titan Killer	Titan Killer	interface	combAchvmt	
I need room	I need room	interface	combAchvmt	
Abyssal Veteran	Abyssal Veteran	interface	combAchvmt	
Respiratory Runner	Respiratory Runner	interface	combAchvmt	
Demonic Rebound	Demonic Rebound	interface	combAchvmt	
Perfect Sire	Perfect Sire	interface	combAchvmt	
Kree'arra Veteran	Kree'arra Veteran	interface	combAchvmt	
General Graardor Veteran	General Graardor Veteran	interface	combAchvmt	
Ourg Freezer II	Ourg Freezer II	interface	combAchvmt	
Reflecting on This Encounter	Reflecting on This Encounter	interface	combAchvmt	
Callisto Veteran	Callisto Veteran	interface	combAchvmt	
Demon Evasion	Demon Evasion	interface	combAchvmt	
Up for the Challenge	Up for the Challenge	interface	combAchvmt	
Cerberus Veteran	Cerberus Veteran	interface	combAchvmt	
Ghost Buster	Ghost Buster	interface	combAchvmt	
Unrequired Antifire	Unrequired Antifire	interface	combAchvmt	
Anti-Bite Mechanics	Anti-Bite Mechanics	interface	combAchvmt	
Chaos Elemental Veteran	Chaos Elemental Veteran	interface	combAchvmt	
Corporeal Beast Veteran	Corporeal Beast Veteran	interface	combAchvmt	
Hot on Your Feet	Hot on Your Feet	interface	combAchvmt	
Finding the Weak Spot	Finding the Weak Spot	interface	combAchvmt	
Chicken Killer	Chicken Killer	interface	combAchvmt	
If Gorillas Could Fly	If Gorillas Could Fly	interface	combAchvmt	
Hitting Them Where It Hurts	Hitting Them Where It Hurts	interface	combAchvmt	
Galvek Speed-Trialist	Galvek Speed-Trialist	interface	combAchvmt	
Grotesque Guardians Veteran	Grotesque Guardians Veteran	interface	combAchvmt	
Done before Dusk	Done before Dusk	interface	combAchvmt	
Perfect Grotesque Guardians	Perfect Grotesque Guardians	interface	combAchvmt	
Grotesque Guardians Speed-Trialist	Grotesque Guardians Speed-Trialist	interface	combAchvmt	
From Dusk...	From Dusk...	interface	combAchvmt	
Corrupted Gauntlet Veteran	Corrupted Gauntlet Veteran	interface	combAchvmt	
<Num0>, <Num1>, <Num2> - Mage	<Num0>, <Num1>, <Num2> – Mágus	interface	combAchvmt	
Gauntlet Veteran	Gauntlet Veteran	interface	combAchvmt	
<Num0>, <Num1>, <Num2> - Range	<Num0>, <Num1>, <Num2> – Távolsági	interface	combAchvmt	
Egniol Diet	Egniol Diet	interface	combAchvmt	
Crystalline Warrior	Crystalline Warrior	interface	combAchvmt	
Wolf Puncher	Wolf Puncher	interface	combAchvmt	
Glough Speed-Trialist	Glough Speed-Trialist	interface	combAchvmt	
Plant-Based Diet	Plant-Based Diet	interface	combAchvmt	
Hespori Speed-Trialist	Hespori Speed-Trialist	interface	combAchvmt	
Alchemical Veteran	Alchemical Veteran	interface	combAchvmt	
Fight Caves Veteran	Fight Caves Veteran	interface	combAchvmt	
Facing Jad Head-on	Facing Jad Head-on	interface	combAchvmt	
Kalphite Queen Veteran	Kalphite Queen Veteran	interface	combAchvmt	
Insect Deflection	Insect Deflection	interface	combAchvmt	
Prayer Smasher	Prayer Smasher	interface	combAchvmt	
Ten-tacles	Ten-tacles	interface	combAchvmt	
Mimic Veteran	Mimic Veteran	interface	combAchvmt	
Hard Hitter	Hard Hitter	interface	combAchvmt	
Nightmare Veteran	Nightmare Veteran	interface	combAchvmt	
Explosion!	Robbanás!	interface	combAchvmt	
Sleep Tight	Sleep Tight	interface	combAchvmt	
Nightmare (Solo) Speed-Trialist	Nightmare (Solo) Speed-Trialist	interface	combAchvmt	
Nightmare (<Num0>-Scale) Speed-Trialist		interface	combAchvmt	
Death to the Seer King	Death to the Seer King	interface	combAchvmt	
From One King to Another	From One King to Another	interface	combAchvmt	
Death to the Warrior King	Death to the Warrior King	interface	combAchvmt	
Toppling the Diarchy	Toppling the Diarchy	interface	combAchvmt	
Commander Zilyana Veteran	Commander Zilyana Veteran	interface	combAchvmt	
Reminisce	Reminisce	interface	combAchvmt	
Scorpia Veteran	Scorpia Veteran	interface	combAchvmt	
Fragment of Seren Speed-Trialist	Fragment of Seren Speed-Trialist	interface	combAchvmt	
Zulrah Veteran	Zulrah Veteran	interface	combAchvmt	
Snake Rebound	Snake Rebound	interface	combAchvmt	
Snake. Snake!? Snaaaaaake!	Snake. Snake!? Snaaaaaake!	interface	combAchvmt	
Zulrah Speed-Trialist	Zulrah Speed-Trialist	interface	combAchvmt	
Death to the Archer King	Death to the Archer King	interface	combAchvmt	
Rapid Succession	Rapid Succession	interface	combAchvmt	
Anticoagulants	Anticoagulants	interface	combAchvmt	
Appropriate Tools	Appropriate Tools	interface	combAchvmt	
They Won't Expect This	They Won't Expect This	interface	combAchvmt	
Chally Time	Chally Time	interface	combAchvmt	
Nylocas, On the Rocks	Nylocas, On the Rocks	interface	combAchvmt	
Just To Be Safe	Just To Be Safe	interface	combAchvmt	
Don't Look at Me!	Don't Look at Me!	interface	combAchvmt	
No-Pillar	No-Pillar	interface	combAchvmt	
Attack, Step, Wait	Attack, Step, Wait	interface	combAchvmt	
Pass It On	Pass It On	interface	combAchvmt	
Theatre of Blood Veteran	Theatre of Blood Veteran	interface	combAchvmt	
Thermonuclear Veteran	Thermonuclear Veteran	interface	combAchvmt	
Hazard Prevention	Hazard Prevention	interface	combAchvmt	
Spec'd Out	Spec'd Out	interface	combAchvmt	
Venenatis Veteran	Venenatis Veteran	interface	combAchvmt	
Vet'eran	Vet'eran	interface	combAchvmt	
Vorkath Veteran	Vorkath Veteran	interface	combAchvmt	
Stick 'em With the Pointy End	Stick 'em With the Pointy End	interface	combAchvmt	
Zombie Destroyer	Zombie Destroyer	interface	combAchvmt	
Dust Seeker	Dust Seeker	interface	combAchvmt	
Chambers of Xeric Veteran	Chambers of Xeric Veteran	interface	combAchvmt	
Perfectly Balanced	Perfectly Balanced	interface	combAchvmt	
Together We'll Fall	Together We'll Fall	interface	combAchvmt	
Redemption Enthusiast	Redemption Enthusiast	interface	combAchvmt	
Mutta-diet	Mutta-diet	interface	combAchvmt	
Dancing with Statues	Dancing with Statues	interface	combAchvmt	
Undying Raid Team	Undying Raid Team	interface	combAchvmt	
Shayzien Specialist	Shayzien Specialist	interface	combAchvmt	
Cryo No More	Cryo No More	interface	combAchvmt	
Blizzard Dodger	Blizzard Dodger	interface	combAchvmt	
Kill It with Fire	Kill It with Fire	interface	combAchvmt	
Zalcano Veteran	Zalcano Veteran	interface	combAchvmt	
Perfect Zalcano	Perfect Zalcano	interface	combAchvmt	
Team Player	Team Player	interface	combAchvmt	
The Spurned Hero	The Spurned Hero	interface	combAchvmt	
K'ril Tsutsaroth Veteran	K'ril Tsutsaroth Veteran	interface	combAchvmt	
Demonic Defence	Demonic Defence	interface	combAchvmt	
The Bane of Demons	The Bane of Demons	interface	combAchvmt	
Half-Way There	Half-Way There	interface	combAchvmt	
A Near Miss!	A Near Miss!	interface	combAchvmt	
The II Jad Challenge	The II Jad Challenge	interface	combAchvmt	
TzHaar-Ket-Rak's Speed-Trialist	TzHaar-Ket-Rak's Speed-Trialist	interface	combAchvmt	
Facing Jad Head-on III	Facing Jad Head-on III	interface	combAchvmt	
Phosani's Veteran	Phosani's Veteran	interface	combAchvmt	
Nex Veteran	Nex Veteran	interface	combAchvmt	
Nex Survivors	Nex Survivors	interface	combAchvmt	
Novice Tomb Raider	Novice Tomb Raider	interface	combAchvmt	
Tomb Explorer	Tomb Explorer	interface	combAchvmt	
Expert Tomb Explorer	Expert Tomb Explorer	interface	combAchvmt	
Hardcore Raiders	Hardcore Raiders	interface	combAchvmt	
Hardcore Tombs	Hardcore Tombs	interface	combAchvmt	
Helpful spirit who?	Helpful spirit who?	interface	combAchvmt	
Dropped the ball	Dropped the ball	interface	combAchvmt	
No skipping allowed	No skipping allowed	interface	combAchvmt	
Down Do Specs	Down Do Specs	interface	combAchvmt	
Perfect Het	Perfect Het	interface	combAchvmt	
Perfect Apmeken	Perfect Apmeken	interface	combAchvmt	
Perfect Crondis	Perfect Crondis	interface	combAchvmt	
I'm in a rush	I'm in a rush	interface	combAchvmt	
Phantom Muspah Speed-Trialist	Phantom Muspah Speed-Trialist	interface	combAchvmt	
Phantom Muspah Veteran	Phantom Muspah Veteran	interface	combAchvmt	
Can't Escape	Can't Escape	interface	combAchvmt	
Versatile Drainer	Versatile Drainer	interface	combAchvmt	
Duke Sucellus Adept	Duke Sucellus Adept	interface	combAchvmt	
Vardorvis Adept	Vardorvis Adept	interface	combAchvmt	
Whisperer Adept	Whisperer Adept	interface	combAchvmt	
Leviathan Adept	Leviathan Adept	interface	combAchvmt	
Duke Sucellus Speed-Trialist	Duke Sucellus Speed-Trialist	interface	combAchvmt	
Vardorvis Speed-Trialist	Vardorvis Speed-Trialist	interface	combAchvmt	
Whisperer Speed-Trialist	Whisperer Speed-Trialist	interface	combAchvmt	
Leviathan Speed-Trialist	Leviathan Speed-Trialist	interface	combAchvmt	
Tentacular	Tentacular	interface	combAchvmt	
High Hitter	High Hitter	interface	combAchvmt	
Furball	Furball	interface	combAchvmt	
Denied	Denied	interface	combAchvmt	
I was here first!	I was here first!	interface	combAchvmt	
Unending Torment	Unending Torment	interface	combAchvmt	
Through Fire and Flames	Through Fire and Flames	interface	combAchvmt	
Two Times the Torment	Two Times the Torment	interface	combAchvmt	
Rapid Reload	Rapid Reload	interface	combAchvmt	
Araxxor Veteran	Araxxor Veteran	interface	combAchvmt	
Relaxxor	Relaxxor	interface	combAchvmt	
Araxxor Speed-Trialist	Araxxor Speed-Trialist	interface	combAchvmt	
Hueycoatl Speed-Trialist	Hueycoatl Speed-Trialist	interface	combAchvmt	
Hueycoatl Veteran	Hueycoatl Veteran	interface	combAchvmt	
Perfect Hueycoatl	Perfect Hueycoatl	interface	combAchvmt	
Amoxliatl Speed-Chaser	Amoxliatl Speed-Chaser	interface	combAchvmt	
Without Ralos' Light	Without Ralos' Light	interface	combAchvmt	
No time to pray	No time to pray	interface	combAchvmt	
Collateral Damage	Collateral Damage	interface	combAchvmt	
Swoop No More	Swoop No More	interface	combAchvmt	
Precise Positioning	Precise Positioning	interface	combAchvmt	
Cerberus Master	Cerberus Master	interface	combAchvmt	
Arooo No More	Arooo No More	interface	combAchvmt	
Corporeal Beast Master	Corporeal Beast Master	interface	combAchvmt	
Perfect Grotesque Guardians II	Perfect Grotesque Guardians II	interface	combAchvmt	
Grotesque Guardians Speed-Chaser	Grotesque Guardians Speed-Chaser	interface	combAchvmt	
... 'til Dawn	... 'til Dawn	interface	combAchvmt	
Corrupted Gauntlet Master	Corrupted Gauntlet Master	interface	combAchvmt	
Perfect Corrupted Hunllef	Perfect Corrupted Hunllef	interface	combAchvmt	
Defence Doesn't Matter II	Defence Doesn't Matter II	interface	combAchvmt	
Corrupted Warrior	Corrupted Warrior	interface	combAchvmt	
Corrupted Gauntlet Speed-Chaser	Corrupted Gauntlet Speed-Chaser	interface	combAchvmt	
Gauntlet Master	Gauntlet Master	interface	combAchvmt	
Perfect Crystalline Hunllef	Perfect Crystalline Hunllef	interface	combAchvmt	
Defence Doesn't Matter	Defence Doesn't Matter	interface	combAchvmt	
Gauntlet Speed-Chaser	Gauntlet Speed-Chaser	interface	combAchvmt	
Hespori Speed-Chaser	Hespori Speed-Chaser	interface	combAchvmt	
Alchemical Master	Alchemical Master	interface	combAchvmt	
Unrequired Antipoisons	Unrequired Antipoisons	interface	combAchvmt	
Lightning Lure	Lightning Lure	interface	combAchvmt	
Don't Flame Me	Don't Flame Me	interface	combAchvmt	
Mixing Correctly	Mixing Correctly	interface	combAchvmt	
The Flame Skipper	The Flame Skipper	interface	combAchvmt	
Alcleanical Hydra	Alcleanical Hydra	interface	combAchvmt	
Alchemical Speed-Chaser	Alchemical Speed-Chaser	interface	combAchvmt	
Working Overtime	Working Overtime	interface	combAchvmt	
Fight Caves Master	Fight Caves Master	interface	combAchvmt	
Denying the Healers	Denying the Healers	interface	combAchvmt	
You Didn't Say Anything About a Bat	You Didn't Say Anything About a Bat	interface	combAchvmt	
Fight Caves Speed-Chaser	Fight Caves Speed-Chaser	interface	combAchvmt	
One Hundred Tentacles	One Hundred Tentacles	interface	combAchvmt	
Nightmare Master	Nightmare Master	interface	combAchvmt	
Perfect Nightmare	Perfect Nightmare	interface	combAchvmt	
Nightmare (Solo) Speed-Chaser	Nightmare (Solo) Speed-Chaser	interface	combAchvmt	
Nightmare (<Num0>-Scale) Speed-Chaser		interface	combAchvmt	
Moving Collateral	Moving Collateral	interface	combAchvmt	
Zulrah Master	Zulrah Master	interface	combAchvmt	
Perfect Zulrah	Perfect Zulrah	interface	combAchvmt	
Zulrah Speed-Chaser	Zulrah Speed-Chaser	interface	combAchvmt	
Can't Drain This	Can't Drain This	interface	combAchvmt	
Perfect Maiden	Perfect Maiden	interface	combAchvmt	
Two-Down	Two-Down	interface	combAchvmt	
Perfect Bloat	Perfect Bloat	interface	combAchvmt	
Perfect Nylocas	Perfect Nylocas	interface	combAchvmt	
A Timely Snack	A Timely Snack	interface	combAchvmt	
Perfect Sotetseg	Perfect Sotetseg	interface	combAchvmt	
Can You Dance?	Can You Dance?	interface	combAchvmt	
Perfect Xarpus	Perfect Xarpus	interface	combAchvmt	
Pop It	Pop It	interface	combAchvmt	
Perfect Verzik	Perfect Verzik	interface	combAchvmt	
Back in My Day...	Back in My Day...	interface	combAchvmt	
Theatre (Trio) Speed-Chaser	Theatre (Trio) Speed-Chaser	interface	combAchvmt	
Theatre (<Num0>-Scale) Speed-Chaser		interface	combAchvmt	
Theatre of Blood Master	Theatre of Blood Master	interface	combAchvmt	
Vorkath Master	Vorkath Master	interface	combAchvmt	
The Walk	The Walk	interface	combAchvmt	
Dodging the Dragon	Dodging the Dragon	interface	combAchvmt	
Vorkath Speed-Chaser	Vorkath Speed-Chaser	interface	combAchvmt	
Extended Encounter	Extended Encounter	interface	combAchvmt	
Chambers of Xeric: CM Master	Chambers of Xeric: CM Master	interface	combAchvmt	
Immortal Raid Team	Immortal Raid Team	interface	combAchvmt	
Immortal Raider	Immortal Raider	interface	combAchvmt	
Chambers of Xeric: CM (Solo) Speed-Chaser	Chambers of Xeric: CM (Solo) Speed-Chaser	interface	combAchvmt	
Chambers of Xeric: CM (<Num0>-Scale) Speed-Chaser	Chambers of Xeric: CM (<Num0> fős) – Gyors vadász	interface	combAchvmt	
Chambers of Xeric: CM (Trio) Speed-Chaser	Chambers of Xeric: CM (Trio) Speed-Chaser	interface	combAchvmt	
Chambers of Xeric Master	Chambers of Xeric Master	interface	combAchvmt	
No Time for Death	No Time for Death	interface	combAchvmt	
Putting It Olm on the Line	Putting It Olm on the Line	interface	combAchvmt	
A Not So Special Lizard	A Not So Special Lizard	interface	combAchvmt	
Stop Drop and Roll	Stop Drop and Roll	interface	combAchvmt	
Anvil No More	Anvil No More	interface	combAchvmt	
Undying Raider	Undying Raider	interface	combAchvmt	
Playing with Lasers	Playing with Lasers	interface	combAchvmt	
Perfect Olm (Solo)	Perfect Olm (Solo)	interface	combAchvmt	
Perfect Olm (Trio)	Perfect Olm (Trio)	interface	combAchvmt	
Blind Spot	Blind Spot	interface	combAchvmt	
Chambers of Xeric (Solo) Speed-Chaser	Chambers of Xeric (Solo) Speed-Chaser	interface	combAchvmt	
Chambers of Xeric (Trio) Speed-Chaser	Chambers of Xeric (Trio) Speed-Chaser	interface	combAchvmt	
Chambers of Xeric (<Num0>-Scale) Speed-Chaser	Chambers of Xeric (<Num0> fős) – Gyors vadász	interface	combAchvmt	
Nibblers, Begone!	Nibblers, Begone!	interface	combAchvmt	
