english	translation	category	sub_category	source
Trade-Builders-Store	Építők boltja	actions	npc	Razmire Keelgan
Haircut	Hajvágás	actions	npc	Hairdresser
Shave	Borotválás	actions	npc	Hairdresser
Makeover	Átalakítás	actions	npc	Makeover Mage
Talk-To	Megszólítás	actions	npc	Tarquin
Quick-falcon	Gyors sólyom	actions	npc	Matthias
Retrieve	Visszaszerzés	actions	npc	Gyr Falcon
Give-Sword	Kard adása	actions	npc	Tindel Marchant
Mine	Bányászat	actions	npc	Elemental rock
Push	Tolás	actions	npc	Trolley
Pull	Húzás	actions	npc	Trolley
Big-push	Nagy lökés	actions	npc	Trolley
Place	Elhelyezés	actions	npc	Trolley
Claim-arrows	Nyilak átvétele	actions	npc	Rantz
Inflate	Felfújás	actions	npc	Swamp toad
Pluck	Tépés	actions	npc	Chompy bird
Shout-to	Odakiabálás	actions	npc	Nickolaus
Quick-travel	Gyors utazás	actions	npc	Desert eagle
Walk-past	Elhaladás	actions	npc	Eagle
Threaten	Fenyegetés	actions	npc	Kebbit
Small Net	Kis háló	actions	npc	Fishing spot
Net	Háló	actions	npc	Fishing spot
Ammo	Lőszer	actions	npc	Leon
Cage	Ketreccsapda	actions	npc	Fishing spot
Harpoon	Szigonyozás	actions	npc	Fishing spot
Big Net	Nagy háló	actions	npc	Fishing spot
Use-rod	Horgász bot használata	actions	npc	Fishing spot
Escort	Kíséret	actions	npc	Smiddi Ryak (hard)
Supply	Ellátás	actions	npc	Smiddi Ryak (hard)
Claim-runes	Rúnák átvétele	actions	npc	Lundail
Chase	Üldözés	actions	npc	Cat
Interact	Interakció	actions	npc	Cat
Catch	Fogás	actions	npc	Baby impling
Get-rewards	Jutalmak szerzése	actions	npc	Commander Connad
Tutorial	Oktatóanyag	actions	npc	Captain Cain
Start-minigame	Minijáték indítása	actions	npc	Guardian mummy
Teleport	Teleportálás	actions	npc	Apprentice
Join-Crew	Csapat csatlakozás	actions	npc	San Fan
Join-Team	Csapat csatlakozás	actions	npc	Honest Jimmy
Pick-pocket	Zsebelés	actions	npc	Fairy Godfather
Craft-goods	Áruk készítése	actions	npc	Thakkrad Sigmundson
Rellekka	Rellekka	actions	npc	Maria Gunnars
Neitiznot	Neitiznot	actions	npc	Maria Gunnars
Jatizso	Jatizso	actions	npc	Mord Gunnars
Watch-shouting	Kiabálás figyelése	actions	npc	Guard
Kick	Rúgás	actions	npc	Bed
Claim-Tokens	Zsetonok átvétele	actions	npc	Lorelai
History	Előzmények	actions	npc	Grand Exchange Clerk
Sets	Szettek	actions	npc	Grand Exchange Clerk
Prices	Árak	actions	npc	Brugsen Bursen
Exchange fire cape	Tűzköpeny cseréje	actions	npc	TzHaar-Mej-Jal
Destroy	Megsemmisítés	actions	npc	Door-support
Tickets	Jegyek	actions	npc	Cart conductor
Listen-to	Hallgatás	actions	npc	Red Axe Director
Claim-Shield	Pajzs átvétele	actions	npc	Gamfred
talk	megszólítás	actions	npc	Gate of War
Get job (easy)	Munka kapása (könnyű)	actions	npc	Gianne jnr.
Get job (hard)	Munka kapása (nehéz)	actions	npc	Gianne jnr.
Repairs	Javítások	actions	npc	Dark Mage
Sober-Up	Kijózanítás	actions	npc	Skippy
Walk here	Séta ide	actions	npc	Purepker895
Follow	Követés	actions	npc	Purepker895
Pay (north-west)	Fizetés (észak-nyugat)	actions	npc	Elstan
Pay (south-east)	Fizetés (dél-kelet)	actions	npc	Elstan
Pay (north)	Fizetés (észak)	actions	npc	Dantaera
Pay (south)	Fizetés (dél)	actions	npc	Dantaera
Detach	Leválasztás	actions	npc	Combat dummy
Upgrade	Fejlesztés	actions	npc	Combat dummy
Remove	Eltávolítás	actions	npc	Combat dummy
Shoo	Hessegetés	actions	npc	Clockwork cat
Fur Clothing	Prém ruházat	actions	npc	Asyff
Shoo-away	Elzavarás	actions	npc	Stray dog
Tease	Ingerkedés	actions	npc	Sabre-toothed kyatt
Leave	Elhagyás	actions	npc	Squire
Claim-slime	Nyálka átvétele	actions	npc	Robin
Use	Használat	actions	npc	Portal
Exit	Kilépés	actions	npc	Portal
Relocate	Áthelyezés	actions	npc	Estate agent
Redecorate	Újradekorálás	actions	npc	Estate agent
Buy-plank	Deszka vásárlása	actions	npc	Sawmill operator
Age	Korbecslés	actions	npc	Hans
Tackle	Megfogás	actions	npc	Gnome baller
Pass-to	Átadás	actions	npc	Gnome winger
Claim	Átvétel	actions	npc	Ranged combat tutor
Buy	Vásárlás	actions	npc	Fadli
Heal	Gyógyítás	actions	npc	A'abla
Stroke	Simogatás	actions	npc	Gertrude's cat
Climb-over	Átmászás	actions	npc	Pile of bones
Melt	Olvasztás	actions	npc	Crust of ice
Clear	Törlés	actions	npc	Furnace grate
Take	Felvétel	actions	npc	Iron pickaxe
Steal-from	Lopás innen	actions	npc	Digsite workman
Pay-fare	Viteldíj fizetése	actions	npc	Captain Tobias
Pay-Fare	Viteldíj fizetése	actions	npc	Customs officer
Go-inside	Bemenetel	actions	npc	House
Pirate's Cove	Pirate's Cove	actions	npc	Lokar Searunner
Deposit-items	Tárgyak letétele	actions	npc	Peer the Seer
Miscellania	Miscellania	actions	npc	Sailor
Prod	Bökés	actions	npc	Red Sheep
Return-Home	Visszatérés otthonra	actions	npc	Bill Teach
Devices	Eszközök	actions	npc	Ava
Chop	Vágás	actions	npc	Undead tree
Roll	Gördülés	actions	npc	Boulder
Watch	Figyelés	actions	npc	Mercenary Captain
Buy-pass	Bérlet vásárlása	actions	npc	Shantay
Pass	Áthaladás	actions	npc	Shantay Guard
Fly	Repülés	actions	npc	Auguste
Decant	Átöntés	actions	npc	Zahur
Clean	Tisztítás	actions	npc	Zahur
Make unfinished potion(s)	Befejezetlen főzet(ek) készítése	actions	npc	Zahur
Shoot	Lövés	actions	npc	Target
Shop	Bolt	actions	npc	Ezekial Lovecraft
Board	Felszállás	actions	npc	Ogre boat
Potions	Főzetek	actions	npc	Apothecary
Grab-feather	Toll megragadása	actions	npc	Desert Phoenix
Take-from	Felvétel innen	actions	npc	Jig cart
Coffer	Széf	actions	npc	Yohnus
Attract	Vonzás	actions	npc	Light creature
Call-Over	Odahívás	actions	npc	Zombie
Insult	Sértegetés	actions	npc	Zombie
Scare	Megijesztés	actions	npc	Zombie
Skin	Bőrözés	actions	npc	Swamp snake
Burn	Égetés	actions	npc	Barricade
Extinguish	Eloltás	actions	npc	Barricade
Quick-withdraw	Gyors kivétel	actions	npc	Elnock Inquisitor
Check-gates	Kapuk ellenőrzése	actions	npc	Wandering impling
Sand	Homokozás	actions	npc	Bert
Request-supplies	Készletek kérése	actions	npc	Bork Sigmundson
Sew	Varrás	actions	npc	Patchy
Check	Ellenőrzés	actions	npc	Probita
View Laps	Körök megtekintése	actions	npc	Grace
Toggle Counter	Számláló váltása	actions	npc	Grace
Tap	Megérintés	actions	npc	Skullball
Show-Goal	Cél megmutatása	actions	npc	Skullball
Give-Stick	Bot adása	actions	npc	Agility Trainer
Waterbirth Island	Waterbirth Island	actions	npc	Jarvald
Take-flyer	Szórólap felvétele	actions	npc	Ali the Leaflet Dropper
Trade-with	Kereskedés	actions	npc	Rewards Guardian
Trade-Co-op	Szövetkezeti kereskedés	actions	npc	Gabooty
Trade-Drinks	Italok kereskedése	actions	npc	Gabooty
Send-parcel	Csomag küldése	actions	npc	Rionasta
Peek	Kukucskálás	actions	npc	Eye
Deposit-box	Letéti doboz	actions	npc	Financial Seer
Move	Mozgatás	actions	npc	Boulder
Log-storage	Rönktár	actions	npc	Friendly Forester
Claim Sand	Homok átvétele	actions	npc	Drew
Deposit buckets	Vedrek letétele	actions	npc	Drew
Toggle warnings	Figyelmeztetések váltása	actions	npc	Doomsayer
Remove PvP Protection	PvP védelem eltávolítása	actions	npc	Doomsayer
Observe	Megfigyelés	actions	npc	Maze Guardian
New-maze	Új labirintus	actions	npc	Maze Guardian
Maxhit Variant	Max sebzés változat	actions	npc	Combat Test
Kill-count	Ölésszámláló	actions	npc	Soldier
Canyon-count (east)	Kanyonszámláló (kelet)	actions	npc	Soldier
Canyon-count (west)	Kanyonszámláló (nyugat)	actions	npc	Soldier
Pay (north-east)	Fizetés (észak-kelet)	actions	npc	Marisi
Pay (south-west)	Fizetés (dél-nyugat)	actions	npc	Marisi
Task	Feladat	actions	npc	Captain Khaled
Help	Segítség	actions	npc	Villia
Spellbook	Varázskönyv	actions	npc	Tyss
Climb-on	Felmászás	actions	npc	Stunted demonic gorilla
Glider	Sárkányrepülő	actions	npc	Captain Shoracks
Watermill	Watermill	actions	npc	Mistag
Join	Csatlakozás	actions	npc	Lisa
Locking	Zárás	actions	npc	Rift guardian
Check Scores	Pontszám ellenőrzése	actions	npc	Captain Kalt
Contract	Szerződés	actions	npc	Amy
Last-tier contract	Utolsó szintű szerződés	actions	npc	Amy
Port Sarim	Port Sarim	actions	npc	Captain Magoro
Port Piscarilius	Port Piscarilius	actions	npc	Captain Magoro
Feed	Etetés	actions	npc	Lux grub
Douse	Eloltás	actions	npc	Fire
Cut	Vágás	actions	npc	Meat tree
Smash	Szétzúzás	actions	npc	Jewelled Crab
Claim-cape	Köpeny átvétele	actions	npc	Captain Rimor
Set-difficulty	Nehézség beállítása	actions	npc	Captain Rimor
Fight	Harc	actions	npc	Abigale
Bars	Rudak	actions	npc	Pirate Jackie the Fruit
Toggle-minerals	Ásványok váltása	actions	npc	Belona
Kitten	Macskakölök	actions	npc	Gertrude
Toggle-vials	Üvegcsék váltása	actions	npc	Barbarian guard
Redeem-code	Kód beváltása	actions	npc	Recruiter
Purchase Amulet	Amulett vásárlása	actions	npc	Wizard Mizgog
Staves	Varázspálcák	actions	npc	Dark Mage
Deboard	Leszállás	actions	npc	Barge guard
Toggle Fossils	Fosszíliák váltása	actions	npc	Peter
Poke	Bökés	actions	npc	Bobbing fossil
Training	Edzés	actions	npc	Mairin
Harvest	Aratás	actions	npc	Herbiboar
Stun	Elkábítás	actions	npc	Hoop Snake
Murder	Meggyilkolás	actions	npc	Conrad King
Quick-Travel	Gyors utazás	actions	npc	Barge guard
Escape	Menekülés	actions	npc	Brundt the Chieftain
Scry	Jóslás	actions	npc	Abigaila
Claim Pet Rock	Háziállat kő átvétele	actions	npc	Askeladden
Standard Variant	Normál változat	actions	npc	Combat Test (maxhit)
Get-log	Rönk szerzése	actions	npc	The Collector
Claim-log-rewards	Napló jutalmak átvétele	actions	npc	The Collector
Get bird	Madár fogása	actions	npc	Alry the Angler
Pay (Fruit tree)	Fizetés (Gyümölcsfa)	actions	npc	Nikkie
Pay (tree patch)	Fizetés (fafolt)	actions	npc	Rosie
Pay (Redwood tree)	Fizetés (Vörösfenyő)	actions	npc	Alexandra
Pay (Spirit tree)	Fizetés (Szellemfa)	actions	npc	Latlink Fastbell
Swap	Csere	actions	npc	Ornate combat dummy
Pay (Celastrus tree)	Fizetés (Celastrus fa)	actions	npc	Taylor
Land's End	Land's End	actions	npc	Veos
Join Castle Wars	Csatlakozás: Castle Wars	actions	npc	Saradominist recruiter
Holiday-items	Ünnepi tárgyak	actions	npc	Diango
Tan-hides	Bőr cserzése	actions	npc	Eodan
Ardougne	Ardougne	actions	npc	Captain Barnaby
Brimhaven	Brimhaven	actions	npc	Captain Barnaby
Rimmington	Rimmington	actions	npc	Captain Barnaby
Enchant	Varázslat	actions	npc	Eluned
Quick-escape	Gyors menekülés	actions	npc	Elena
Investigate	Vizsgálat	actions	npc	Elderly Elf
Fix-exoskeleton	Exoszkeleton javítása	actions	npc	Elderly Elf
Chop down	Kivágás	actions	npc	Tree
Sing	Éneklés	actions	npc	Reese
Statistics	Statisztikák	actions	npc	Ystwyth
Repair	Javítás	actions	npc	Aneirin
Open Adventure Paths	Kalandösvények megnyitása	actions	npc	Adventurer Jon
Island of Stone	Island of Stone	actions	npc	Haskell
Charter	Bérelt hajó	actions	npc	Trader Stan
Charter-to Brimhaven	Hajó bérlése: Brimhaven	actions	npc	Trader Stan
Charter-to Catherby	Hajó bérlése: Catherby	actions	npc	Trader Stan
Charter-to Mos Le'Harmless	Hajó bérlése: Mos Le'Harmless	actions	npc	Trader Stan
Charter-to Musa Point	Hajó bérlése: Musa Point	actions	npc	Trader Stan
Charter-to Port Khazard	Hajó bérlése: Port Khazard	actions	npc	Trader Stan
Charter-to Port Phasmatys	Hajó bérlése: Port Phasmatys	actions	npc	Trader Stan
Charter-to Port Sarim	Hajó bérlése: Port Sarim	actions	npc	Trader Stan
Charter-to Shipyard	Hajó bérlése: Hajógyár	actions	npc	Trader Stan
Charter-to Corsair Cove	Hajó bérlése: Corsair Cove	actions	npc	Trader Stan
Charter-to Prifddinas	Hajó bérlése: Prifddinas	actions	npc	Trader Stan
Charter-to Port Tyras	Hajó bérlése: Port Tyras	actions	npc	Trader Stan
Charge	Töltés	actions	npc	Totem
Spectate	Nézőként részvétel	actions	npc	The Nightmare
Convert-shards	Cserepek átalakítása	actions	npc	Noranna Tytanin
Loot	Zsákmányolás	actions	npc	Grave
Lap-count	Körszámláló	actions	npc	Bobawu
Value	Érték	actions	npc	Skully
Settings	Beállítások	actions	npc	Skully
Ungael	Ungael	actions	npc	Torfinn
Glider-to Ta Quir Priw	Repülés: Ta Quir Priw	actions	npc	Gnormadium Avlafrim
Glider-to Gandius	Repülés: Gandius	actions	npc	Gnormadium Avlafrim
Glider-to Kar-Hewo	Repülés: Kar-Hewo	actions	npc	Gnormadium Avlafrim
Glider-to Lemanto Andra	Repülés: Lemanto Andra	actions	npc	Gnormadium Avlafrim
Glider-to Sindarpos	Repülés: Sindarpos	actions	npc	Gnormadium Avlafrim
Glider-to Ookookolly Undri	Repülés: Ookookolly Undri	actions	npc	Gnormadium Avlafrim
Glider-to Lemantolly Undri	Repülés: Lemantolly Undri	actions	npc	Captain Dalbur
Other-services	Egyéb szolgáltatások	actions	npc	Thessalia
Leave-tutorial	Oktatóanyag elhagyása	actions	npc	Nomad
Fill	Feltöltés	actions	npc	Ammunition crate
Check-ammo	Lőszer ellenőrzése	actions	npc	Ammunition crate
Forfeit	Feladás	actions	npc	Captain Pudi
Locks	Zárak	actions	npc	Dampe
Take-net	Háló felvétele	actions	npc	Spirit Angler
Ferry	Komp	actions	npc	Ferryman Sathwood
Awaken	Felébresztés	actions	npc	Rubble
Items	Tárgyak	actions	npc	Clerk
Buy-sphere	Gömb vásárlása	actions	npc	Oldak
Power-up	Feltöltés	actions	npc	The Great Guardian
Buy-crystals	Kristályok vásárlása	actions	npc	Rick
Quick-lock	Gyors zárás	actions	npc	Apprentice Tamara
Strike	Ütés	actions	npc	Hill Giant
Hand-in	Átadás	actions	npc	Kovac
Commission	Megbízás	actions	npc	Kovac
Talk	Megszólítás	actions	npc	Hannibal
Proceed	Folytatás	actions	npc	Osmumten
Begin	Kezdés	actions	npc	Osmumten
Water	Öntözés	actions	npc	Palm of Resourcefulness
Check-costume	Jelmez ellenőrzése	actions	npc	Costumed child
Trick-or-treat	Csokit vagy csalunk	actions	npc	Generous Treater
Scare-away	Elriasztás	actions	npc	Spooky dog
Tend-to	Gondozás	actions	npc	Flowering bush (Lilac)
Emote	Emóció	actions	npc	Wisp
Deposit	Betét	actions	npc	Woodcutting Leprechaun
Cast	Varázslat	actions	npc	Fishing spot
Reset-room	Szoba visszaállítása	actions	npc	Cerebral pathfinder
Take-lure	Csali felvétele	actions	npc	Light leech
Build	Építés	actions	npc	Unfinished Beehive
Disarm	Lefegyverzés	actions	npc	Fox trap
Prune	Nyírás	actions	npc	Entling
Prune-top	Teteje nyírása	actions	npc	Entling
Prune-back	Visszavágás	actions	npc	Entling
Prune-sides	Oldalak nyírása	actions	npc	Entling
Metamorph	Átalakulás	actions	npc	Bran
Listen	Hallgatás	actions	npc	Key Master
Charter-to Port Piscarilius	Hajó bérlése: Port Piscarilius	actions	npc	Trader Stan
Charter-to Land's End	Hajó bérlése: Land's End	actions	npc	Trader Stan
Mark	Megjelölés	actions	npc	Guard
Unmark	Jelölés törlése	actions	npc	Guard
Charter-to Civitas illa Fortis	Hajó bérlése: Civitas illa Fortis	actions	npc	Trader Stan
Charter-to Aldarin	Hajó bérlése: Aldarin	actions	npc	Trader Stan
Charter-to Sunset Coast	Hajó bérlése: Naplementepart	actions	npc	Trader Stan
Charter-to Tempestus	Hajó bérlése: Tempestus	actions	npc	Trader Stan
Start-wave	Hullám indítása	actions	npc	Minimus
Scoreboard	Rangsor	actions	npc	Eyatlalli
Rumour	Pletyka	actions	npc	Huntmaster Gilman (Novice)
Rumour-settings	Pletyka beállítások	actions	npc	Guild Scribe Verity
Fur-clothing	Prém ruházat	actions	npc	Pellem
Recharge-whistle	Síp feltöltése	actions	npc	Soar Leader Pitri
Trade-in	Becserélés	actions	npc	Oriana
Last-destination	Utolsó célállomás	actions	npc	Renu
Plant-orb	Gömb elhelyezése	actions	npc	Surok Magis
Choose	Választás	actions	npc	Tenoch
Check-on	Ellenőrzés	actions	npc	Man
Stats	Statisztikák	actions	npc	Worm Tongue
Sacrifice	Feláldozás	actions	npc	Branda the Fire Queen
Take pages	Lapok felvétele	actions	npc	Branda the Fire Queen
Search	Keresés	actions	object	Crate
Enter	Belépés	actions	object	Cave Entrance
Open	Megnyitás	actions	object	Door
Inspect	Vizsgálat	actions	object	Broken multicannon
Fire	Tüzelés	actions	object	Dwarf multicannon
Pick-up	Felvétel	actions	object	Dwarf multicannon
Empty	Kiürítés	actions	object	Dwarf multicannon
Climb-down	Lemászás	actions	object	Ladder
Climb-up	Felmászás	actions	object	Ladder
Climb-over	Átmászás	actions	object	Rock pile
Prod	Bökés	actions	object	Sacks
Pull	Húzás	actions	object	Lever
Go-through	Áthaladás	actions	object	Gate
Fish	Halászat	actions	object	Fishing spot
Squeeze-through	Átpréselés	actions	object	Loose Railing
Check	Ellenőrzés	actions	object	Vine
Pray-at	Imádkozás itt	actions	object	Chaos altar
Smash	Szétzúzás	actions	object	Giant crystal
Hide-in	Elbújás ide	actions	object	Crate
Take-from	Felvétel innen	actions	object	Beehive
Cross	Átkelés	actions	object	Gangplank
Knock-at	Kopogás	actions	object	Large door
Search for traps	Csapdák keresése	actions	object	Lever
Shut	Bezárás	actions	object	Open chest
Cook	Főzés	actions	object	Cooking range
Burst	Robbantás	actions	object	Party Balloon
Jump-up	Felugrás	actions	object	Rocks
Operate	Kezelés	actions	object	Winch
Pick	Szedés	actions	object	Potato
Close	Bezárás	actions	object	Large open cupboard
Play	Játék	actions	object	Church organ
Use	Használat	actions	object	Crevice
Peek	Kukucskálás	actions	object	Crevice
Private	Privát	actions	object	Crevice
Jump	Ugrás	actions	object	Broken Fence
Steal-from	Lopás innen	actions	object	Tea stall
Take	Felvétel	actions	object	Small fishing net
Exit	Kilépés	actions	object	Cave exit
Suck	Szívás	actions	object	Swamp bubbles
Reset	Visszaállítás	actions	object	Shaking box
Slash	Csapás	actions	object	Web
Weave	Szövés	actions	object	Loom
Attack	Támadás	actions	object	Dummy
Read	Olvasás	actions	object	Plaque
Chop down	Kivágás	actions	object	Tree
Push	Tolás	actions	object	Wall
Take-1	1 felvétele	actions	object	Bandage table
Take-5	5 felvétele	actions	object	Bandage table
Take-10	10 felvétele	actions	object	Bandage table
Commune	Kapcsolat	actions	object	Lever
Board	Felszállás	actions	object	Log raft
Swim to	Úszás ide	actions	object	Rock
Take treasure	Kincs felvétele	actions	object	Chalice
Climb	Mászás	actions	object	Dead Tree
Get in	Beszállás	actions	object	Barrel
Chop	Vágás	actions	object	Achey Tree
Drink-from	Ivás innen	actions	object	Cauldron
Smelt	Olvasztás	actions	object	Furnace
Smith	Kovácsolás	actions	object	Anvil
Hit	Ütés	actions	object	Dummy
Fill	Feltöltés	actions	object	Crate
Look-at	Megnézés	actions	object	Mound of earth
Investigate	Vizsgálat	actions	object	Strange looking stone
Craft	Tárgy készítése	actions	object	Smashed table
Disembark	Leszállás	actions	object	Crude raft
Pay-fare	Viteldíj fizetése	actions	object	Travel cart
Listen-at	Hallgatózás	actions	object	Grill
Pan	Mosás	actions	object	Panning point
Shoot	Lövés	actions	object	Gnome goal
Deposit	Betét	actions	object	Chest
Climb-on	Felmászás	actions	object	Barrel
Kick	Rúgás	actions	object	Loose panel
Rotate	Forgatás	actions	object	Crane
Walk-down	Lemenetel	actions	object	Spooky stairs
Walk-up	Felmenetel	actions	object	Spooky stairs
Repair	Javítás	actions	object	Hole
Walk-Down	Lemenetel	actions	object	Stairs
Walk-Up	Felmenetel	actions	object	Stairs
Mine	Bányászat	actions	object	Rock slide
Look at	Megnézés	actions	object	Winch
Cut	Vágás	actions	object	Kharidian cactus (Healthy)
Watch	Figyelés	actions	object	Mine door entrance
Look-in	Benézés	actions	object	Barrel
Look in	Benézés	actions	object	Barrel
Collect	Gyűjtés	actions	object	Bank chest
Climb-to	Felmászás ide	actions	object	Rock
Climb down	Lemászás	actions	object	Rock
Walk through	Áthaladás	actions	object	Mine cave
Walk-through	Áthaladás	actions	object	Tent door
Remove	Eltávolítás	actions	object	Hellhound
Steal-From	Lopás innen	actions	object	Counter
Prospect	Felderítés	actions	object	Rock of Dalgroth
Leave	Elhagyás	actions	object	Cave exit
Jump-Over	Átugrás	actions	object	Gap
Turn	Fordítás	actions	object	Sewer valve
Look-under	Alanézés	actions	object	Potted plant
Step-into	Belépés	actions	object	Sparkling pool
Chop-down	Kivágás	actions	object	Jungle tree
Touch	Megérintés	actions	object	Fire Wall
search	keresés	actions	object	Desk
Smash-to-bits	Darabokra zúzás	actions	object	Boulder
Jump-over	Átugrás	actions	object	Jagged wall
Look	Nézés	actions	object	Carved rock
Lift	Emelés	actions	object	Totem pole
Shake	Rázás	actions	object	Leafy Palm Tree
Cut down	Kivágás	actions	object	Arctic pine tree
Forfeit	Feladás	actions	object	Entrance
Bank	Bank	actions	object	Open chest
Buy	Vásárlás	actions	object	Crate
Pass-through	Áthaladás	actions	object	Tunnel
Descend	Leereszkedés	actions	object	Cave
Ascend	Feljutás	actions	object	Cave
Picklock	Zárfeltörés	actions	object	Gate
Fire-at	Tüzelés ide	actions	object	Guide rope
Unlock	Feloldás	actions	object	Locked Ogre chest
Study	Tanulmányozás	actions	object	Monument
Take-cutting	Dugvány felvétele	actions	object	Budding branch
Walk-on	Átkelés	actions	object	Balancing rope
Walk-across	Átkelés	actions	object	Balancing ledge
Swing-across	Átlendülés	actions	object	Monkey bars
Swing-on	Hintázás	actions	object	Rope swing
Jump-on	Felugrás	actions	object	Pillar
Tag	Megjelölés	actions	object	Ticket Dispenser
Climb-across	Átmászás	actions	object	Hand holds
Toggle-warning	Figyelmeztetés váltása	actions	object	Cave entrance
Dump	Kirakás	actions	object	Compost Bin
Step-over	Átlépés	actions	object	Tripwire
Pass	Áthaladás	actions	object	Sticks
Reinforce	Megerősítés	actions	object	Temple wall
Light	Meggyújtás	actions	object	Fire altar
Build	Építés	actions	object	Funeral Pyre
Summon	Idézés	actions	object	Strange altar
Cut-branch	Ág vágása	actions	object	Swaying tree
Put-inside	Betétel	actions	object	Pipe
Spin	Fonás	actions	object	Spinning wheel
Capture	Elfogás	actions	object	Standard Stand
Jump-to	Ugrás ide	actions	object	Stepping stone
Collapse	Összeomlás	actions	object	Cave wall
Top-Floor	Felső szint	actions	object	Ladder
Lock	Zárás	actions	object	Door
View	Megtekintés	actions	object	Scoreboard
View Stats	Statisztikák megtekintése	actions	object	Scoreboard
Remove board advert	Tábla hirdetés eltávolítása	actions	object	Portal
Remove-room	Szoba eltávolítása	actions	object	Dungeon entrance
Jump-across	Átugrás	actions	object	Basalt rock
Top-floor	Felső szint	actions	object	Staircase
Bottom-floor	Alsó szint	actions	object	Staircase
View-game	Játék megtekintése	actions	object	Table
Weed	Gyomlálás	actions	object	Herbs
Jump off	Leugrik	actions	object	End of bridge
Talk-to	Megszólítás	actions	object	Awowogei
Pick-lock	Zárfeltörés	actions	object	Jail Door
Steal from	Lopás innen	actions	object	Crafting Stall
Crawl-down	Lebújás	actions	object	Cart tunnel
Crawl-through	Átbújás	actions	object	Cart tunnel
Go-down	Lemenetel	actions	object	Lift
Go-up	Felmenetel	actions	object	Lift
Slide	Csúszás	actions	object	Slope
Squeeze-past	Elpréselés	actions	object	Stalagmite
Wind	Feltekerés	actions	object	Clock
Dig	Ásás	actions	object	Grave
Pick-Lock	Zárfeltörés	actions	object	Trapdoor
Take-axe	Fejsze felvétele	actions	object	Logs
Ring-bell	Harang csörgése	actions	object	Antiques Shop Stall
Listen-to	Hallgatás	actions	object	Shining pool
Pick-from	Szedés innen	actions	object	Thorny bushes
Dig-up	Kiásás	actions	object	Mud
Dig-below	Alásás	actions	object	Roots
Jump-through	Átjutás	actions	object	Wall of flame
Take-beer	Sör felvétele	actions	object	Table
Hide-behind	Elbújás mögé	actions	object	Cactus
Smoke	Füstölés	actions	object	Smokey well
Look-into	Benézés	actions	object	Mystical mirror
Step-off	Lelépés	actions	object	Ice ledge
Climb-through	Átmászás	actions	object	Hole
Collect-from	Gyűjtés innen	actions	object	Weeping wall
Sit-on	Ráülés	actions	object	Chair
